Designator,Mid X,Mid Y,Rotation,Layer
C1,95.55,-67.15,270.0,top
C11,167.66,-110.3425,270.0,top
C12,169.5325,-114.47,0.0,top
C13,109.9225,-59.19,0.0,top
C14,88.72,-55.0475,90.0,top
C15,110.04,-50.35,0.0,top
C16,167.55125,-91.89125,180.0,top
C17,170.79,-101.83,180.0,top
C18,184.69,-120.99,0.0,top
C2,91.85,-55.04,90.0,top
C21,172.36,-83.09,270.0,top
C5,94.795,-122.145,270.0,top
C6,103.03,-82.79,0.0,top
C7,170.63,-61.12,180.0,top
C8,104.51,-72.23,0.0,top
C9,160.31,-80.92,90.0,top
D1,181.245,-53.45,0.0,top
D10,99.0,-71.49,0.0,top
D11,166.75,-129.16,90.0,top
D13,166.35,-85.0,180.0,top
D2,161.38,-66.1,180.0,top
D3,176.11,-61.46,180.0,top
D4,147.75,-65.19,90.0,top
D5,147.660522,-58.85277,90.0,top
D6,171.65,-91.49,0.0,top
D7,108.4,-84.65,0.0,top
D8,108.41,-86.68,0.0,top
D9,115.3,-87.12,90.0,top
FID1,77.5,-129.0,0.0,top
FID2,196.41,-121.99,0.0,top
FID3,77.0,-63.5,0.0,top
J2,188.61425,-85.93,0.0,top
J4,137.26,-57.66,90.0,top
J8,142.255,-67.68,180.0,top
L2,97.6,-54.1,0.0,top
Q1,169.85,-50.92,0.0,top
Q2,161.6,-50.92,0.0,top
Q3,165.41,-106.74,180.0,top
Q4,170.34,-73.85,180.0,top
Q5,164.2,-99.28,270.0,top
R10,112.07,-85.68,0.0,top
R11,161.51625,-105.95,0.0,top
R13,103.72,-88.67,180.0,top
R14,167.38,-73.73,90.0,top
R15,169.78,-124.3,270.0,top
R16,160.49,-99.01,0.0,top
R18,169.78,-128.47,270.0,top
R22,161.77,-89.44,270.0,top
R23,161.77,-94.35,90.0,top
R24,134.39,-53.94,90.0,top
R25,109.9125,-56.83,0.0,top
R32,164.01,-89.44,270.0,top
R33,164.01,-94.35,90.0,top
R7,150.768932,-65.1,90.0,top
R8,150.780428,-58.478503,90.0,top
U2,90.28,-61.53,270.0,top
U3,165.04,-78.99,270.0,top
U6,122.765,-57.895,0.0,top
